year,annual_precipitation_mm,classification_from_source,data_type
2008,346.25,正常参考年,FACT
2009,361.25,正常参考年,FACT
2010,304.50,正常参考年,FACT
2018,393.60,相对湿润年,FACT
2019,332.90,正常参考年,FACT
2020,256.90,相对干旱年,FACT
2021,244.40,相对干旱年,FACT
